##BLOCKS= 6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plate:;Plate1;1.3;TimeFormat;Endpoint;Absorbance;Reduced;FALSE;1;;;;;;1;405;1;12;96;1;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12
;;1.404.133.333;1.432.933.333;1.427.333.333;13.832;13.321;13.158;1.360.066.667;1.393.066.667;1.326.166.667;0.005;-0.0154;0.0104;1.382.433.333;1.334.133.333;1.325.133.333;13.352;11.851;12.737;1.249.866.667;1.275.866.667;1.221.266.667;-0.000633333;-0.002433333;0.003066667;1.285.833.333;1.264.433.333;1.253.633.333;12.268;11.627;11.701;1.113.266.667;1.191.166.667;1.181.366.667;-0.002766667;-0.002166667;0.004933333;1.123.233.333;1.071.533.333;1.088.433.333;10.095;10.152;0.9945;0.914166667;0.922166667;0.927666667;0.1263;0.1224;0.1229;0.729533333;0.724533333;0.708933333;0.6536;0.6463;0.6348;0.548866667;0.537366667;0.548466667;0.1417;0.1188;0.1269;0.428433333;0.425233333;0.413633333;0.3679;0.3748;0.3679;0.339766667;0.300866667;0.279166667;0.1202;0.1543;0.1487;0.227133333;0.199033333;0.196133333;0.1738;0.1905;0.1728;0.154866667;0.197866667;0.164666667;0.1682;0.1681;0.1442;0.017533333;0.010133333;0.011533333;-0.0156;-0.006;0.0021;0.029166667;0.023466667;0.002466667;0.1452;0.1304;0.1233
~End;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Group: Std;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sample;Concentration µg/mL;BackCalcConc;Wells;Value;MeanValue;SD;CV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0.4;0.259;A1;1.404;1.421;0.015;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;0.4;0.342;A2;1.433; ; ; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;0.4;0.322;A3;1.427; ; ; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;0.2;0.218;B1;1.382;1.347;0.031;2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;0.2;0.159;B2;1.334; ; ; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;0.2;0.151;B3;1.325; ; ; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
